QueNo,Category,Question
1,프로그래밍,주로 사용하는 언어에 대해서 설명해보세요.
2,프로그래밍,정렬 알고리즘 중에 알고 있는 거 설명해보세요.
3,프로그래밍,"혹시 개발할 때, 디버깅 해보신 적 있을텐데, 어떻게 하셨나요?"
4,프로그래밍,포인터에 대해서 설명해보세요.
5,프로그래밍,재귀 함수 많이 사용해보셨나요? 한번 설명해보세요.
6,프로그래밍,배열과 링크드 리스트의 장단점에 대해서 설명해보세요.
7,프로그래밍,세마포어에 대해서 설명해주세요.
8,프로그래밍,세그멘테이션 오류에 대해서 아시는 거 있으면 설명해주세요.
9,프로그래밍,객체가 가지고 있는 특징에 대해서 설명해주세요.
10,프로그래밍,스택과 큐의 차이점에 대해서 설명해보실래요?
11,프로그래밍,힙 구조에 대해서 설명해보세요.
12,데이터베이스,기본키에 대해서 설명해보세요.
13,데이터베이스,후보키에 대해서 설명해보세요.
14,데이터베이스,스키마에 대해서 설명해보세요.
15,데이터베이스,스키마의 종류에 대해서 설명해보세요.
16,데이터베이스,혹시 RDBMS 라고 아세요?
17,데이터베이스,DBA 의 역할에 대해서 설명해보세요.
18,데이터베이스,왜 데이터들을 파일로 저장하지 않고 데이터베이스로 저장할까요? 한번 설명해보세요.
19,데이터베이스,DDL에 대해서 설명해보세요.
20,데이터베이스,DCL에 대해서 설명해보세요.
21,데이터베이스,DML에 대해서 설명해보세요.
22,데이터베이스,데이터베이스에서 트랜젝션에 대해서 설명해보실래요?
23,데이터베이스,기본키랑 후보키의 차이점에 대해서 설명해보세요.
24,데이터베이스,"DBMS를 사용할 때, INDEX를 써야 하는 상황이 왔다고 해봅시다. INDEX를 설정하게 되면 어떠한 점이 좋을까요?"
25,데이터베이스,"좀 어려운 질문이긴 한데, 클러스터드 인덱스와 넌클러스터드 인덱스의 차이에 대해서 혹시 아시면 설명해주세요."
26,데이터베이스,"데이터베이스 개발할 때, 혹시 조인 써보셨어요? "
27,데이터베이스,"조인에 대해서 설명해보시고, 종류도 혹시 아시면 추가로 말해주세요."
28,데이터베이스,"관계 모델중에 일대일, 일대다, 다디다에 대해서 설명해보세요."
29,데이터베이스,데이터베이스 테이블을 정규화하는 이유가 뭘까요?
30,데이터베이스,"데이터베이스 속성을 정할때, 유의할 점이 뭐가 있을까요?"
31,네트워크,네트워크에서 오류제어 방식 중 BACKWARD 방식과 FORWARD 방식에 대해 아는 대로 설명해보세요.
32,네트워크,STP란 무엇인지 설명해보세요.
33,네트워크,디도스 공격에 대해서 설명해보세요.
34,네트워크,OSI 7계층이 무엇인지 설명해보세요.
35,네트워크,라우터의 종류에 대해서 말해보세요.
36,네트워크,광통신과 ADSL망의 차이점에 대해 말해보세요.
37,네트워크,라우팅 프로토콜에 대해 설명해보세요.
38,네트워크,"TCP,  IP에 대해 설명해보세요."
39,네트워크,이더넷에 대해 설명해보세요.
40,네트워크,디지털신호를 아날로그로 변환하는 방법에 대해 설명해보세요.
41,네트워크,VPN에 대한 정의와 구성요소를 설명해보세요.
42,네트워크,DNS 쿼리에 대해 설명해보세요.
43,네트워크,홈 네트워크의 개념과 기술 동향에 대해서 설명해보세요.
